Age,Nuclear,Mito,Diet,Track_ID,Unnamed: 0,Dt,Dx,Dy,Rack,Rack_rep,Time,Track_xmean,Type_rep,Unnamed: 0.1,Velo_inst,Velo_mean_cm_sec,Velo_median_cm_sec,x,y
old,3,B,II,1384,135862.5,1.0,-0.00023480140445819586,0.02579633617519761,13.0,1.0,122.5,1.0,3.0,3626.5,0.38694504262796414,0.44033216290043375,0.38694504262796414,12.017184147939133,23.295982925655345
old,3,B,II,1386,136033.0,1.0,0.005252372486240553,0.080009096626533,13.0,1.0,51.0,1.0,3.0,3797.0,1.200136449397995,1.2324700990397,1.2001364493979951,10.823074700034775,25.15823452422546
old,3,B,II,1392,136113.0,1.0,0.0012759842021736745,0.036764020408661224,13.0,1.0,32.0,1.0,3.0,3877.0,0.5514603061299184,0.5039256870364701,0.5514603061299184,12.466545975953515,29.45610839723096
old,3,B,II,1397,136172.5,1.0,-0.0017897629240746227,0.026636854488259587,13.0,1.0,30.5,1.0,3.0,3936.5,0.3995528173238938,0.486831940315161,0.3995528173238938,12.614506254229255,28.592875349228425
old,3,B,II,1401,136322.5,1.0,0.0016535528955792245,0.014726434709601222,13.0,1.0,122.5,1.0,3.0,4086.5,0.22089652064401832,0.2843226804599361,0.22089652064401832,10.668846054488252,30.01730522199244
old,3,B,II,1430,136513.0,1.0,0.0022317745913014164,0.07344397188209761,13.0,1.0,174.0,1.0,3.0,4277.0,1.1016595782314642,0.99295960012338,1.1016595782314642,10.922634537172863,25.263581781042408
old,3,B,II,1440,136691.5,1.0,0.0011073133339021268,0.026311640338612108,13.0,1.0,283.5,1.0,3.0,4455.5,0.3946746050791816,0.37665166913003617,0.3946746050791816,12.904945439380665,27.772326043674184
old,3,B,II,1444,136900.5,1.0,-0.0002544614579491622,0.014274413066491576,13.0,1.0,292.5,1.0,3.0,4664.5,0.21411619599737364,0.2528691396401209,0.21411619599737364,13.509064408087584,29.918881575499082
old,3,B,II,1456,137075.0,1.0,-0.00023690199069470447,0.049720682464286625,13.0,1.0,318.0,1.0,3.0,4839.0,0.7458102369642994,0.6922893662012077,0.7458102369642994,11.061911906679027,16.123409589128578
old,3,B,II,1458,137224.0,1.0,-1.4343392948035213e-05,0.016929184109928386,13.0,1.0,318.0,1.0,3.0,4988.0,0.2539377616489258,0.2808116009659009,0.2539377616489258,11.791124071260915,18.722495821294483
old,3,B,II,1473,137373.0,1.0,0.00041981752134212513,0.02202120674443897,13.0,1.0,318.0,1.0,3.0,5137.0,0.33031810116658455,0.36025777359349115,0.3303181011665845,10.858499674544193,22.534173332391834
old,3,B,II,1478,137522.0,1.0,0.0005720886987763407,0.03385755906233712,13.0,1.0,318.0,1.0,3.0,5286.0,0.5078633859350568,0.4745849660269746,0.5078633859350568,12.986726274622125,25.03432577395319
old,3,B,II,1503,149807.0,1.0,0.0032231604380905665,0.024800092882559355,13.0,2.0,75.0,1.0,3.0,2840.0,0.3720013932383903,0.266512832579014,0.3720013932383903,12.161525976574938,29.329285778122863
old,3,B,II,1504,149895.5,1.0,0.007023283747868092,0.09024094328824006,13.0,2.0,16.5,1.0,3.0,2928.5,1.353614149323601,1.110598818776774,1.353614149323601,10.264566515521732,28.212509322986463
old,3,B,II,1507,150031.5,1.0,0.0024309530451152037,0.020931181628991883,13.0,2.0,122.5,1.0,3.0,3064.5,0.3139677244348782,0.2983513602326137,0.3139677244348782,10.130016439652767,28.399320449936685
old,3,B,II,1512,150273.5,1.0,-0.000939239203679776,0.036897652712834635,13.0,2.0,122.5,1.0,3.0,3306.5,0.5534647906925194,0.5507631874635536,0.5534647906925194,11.459213831603563,24.431116888151447
old,3,B,II,1514,150515.0,1.0,0.003029603369051337,0.04185555726180823,13.0,2.0,123.0,1.0,3.0,3548.0,0.6278333589271234,0.6336288774209466,0.6278333589271234,12.240980592237227,24.95405614547893
old,3,B,II,1523,150741.5,1.0,0.001644321573971652,0.07698343200159741,13.0,2.0,137.5,1.0,3.0,3774.5,1.1547514800239609,1.0953144816491778,1.1547514800239609,10.484364961730792,22.65169149030666
old,3,B,II,1528,150941.0,1.0,-0.0007522691512340529,0.022816266739997815,13.0,2.0,150.0,1.0,3.0,3974.0,0.3422440010999672,0.3433171779248215,0.3422440010999672,9.036826817154386,28.350982617895927
old,3,B,II,1540,151103.5,1.0,0.001238631170368265,0.026479841256083603,13.0,2.0,174.5,1.0,3.0,4136.5,0.3971976188412541,0.3886918973302501,0.3971976188412541,12.927944598992443,29.771960030165182
old,3,B,II,1545,151220.0,1.0,0.003926091995599457,0.026630001495622224,13.0,2.0,196.0,1.0,3.0,4253.0,0.39945002243433336,0.43476363150345854,0.39945002243433336,12.251657892313151,29.49965993276068
old,3,B,II,1549,151341.5,1.0,0.0016555226983356874,0.006879401633334226,13.0,2.0,317.5,1.0,3.0,4374.5,0.10319102450001336,0.3085313339394109,0.10319102450001336,9.080691813000271,7.6355129293861514
old,3,B,II,1553,151489.5,1.0,-8.01656153281982e-05,0.0019392764149106512,13.0,2.0,317.5,1.0,3.0,4522.5,0.029089146223659768,0.1736960298764208,0.029089146223659768,10.48473840659144,11.124266502458156
old,3,B,II,1562,151637.5,1.0,0.0010216806687033397,0.01971152996071268,13.0,2.0,317.5,1.0,3.0,4670.5,0.2956729494106902,0.30885819851545865,0.2956729494106902,10.720242799893153,23.543237343815928
old,3,B,II,1570,151785.5,1.0,0.001105613637436775,0.01891062959718681,13.0,2.0,317.5,1.0,3.0,4818.5,0.2836594439578022,0.2967223204864879,0.2836594439578022,11.4017225023516,18.349538411996768
