Age,Rack,Repetition,Replicate,Tube,Nuclear,Mito,Diet,Time (sec),Dy (Vertical Velocity) (px/sec),Dz (Speed),Dy (cm/sec),Mean Velocity (cm/sec),Dy,Dz
young,2,1,1,3,3,G,IV,9,60,60.369,1.7208,,,
young,2,1,1,4,3,G,IV,3,114.666,115.161,3.28862088,,,
young,2,1,1,4,3,G,IV,6,150.667,150.691,4.32112956,,,
young,2,1,1,4,3,G,IV,9,141.333,141.358,4.05343044,,,
young,2,1,1,5,3,G,II,3,132,132.544,3.78576,3.54676,,
young,2,1,1,5,3,G,II,6,185.333,185.41,5.31535044,,,
young,2,1,1,5,3,G,II,9,149.333,149.713,4.28287044,,,
young,2,1,1,6,3,G,II,3,17.334,20.353,0.49713912,,,
young,2,1,1,6,3,G,II,6,189.333,189.802,5.43007044,,,
young,2,1,1,6,3,G,II,9,116,116.764,3.32688,,,
young,2,1,1,7,3,G,II,3,-5.333,8.538,-0.15295044,,,
young,2,1,1,7,3,G,II,6,170.667,170.714,4.89472956,,,
young,2,1,1,7,3,G,II,9,116,116.191,3.32688,,,
young,2,1,1,8,3,G,II,3,197.333,197.554,5.65951044,,,
young,2,1,1,8,3,G,II,6,177.333,177.353,5.08591044,,,
young,2,1,1,8,3,G,II,9,38.667,39.486,1.10896956,,,
young,2,1,1,9,3,G,V,3,156,156.051,4.47408,2.01716,,
young,2,1,1,9,3,G,V,6,154.667,154.719,4.43584956,,,
young,2,1,1,9,3,G,V,9,29.333,29.363,0.84127044,,,
young,2,1,1,10,3,G,V,3,166.667,167.098,4.78000956,,,
young,2,1,1,10,3,G,V,6,-193.333,193.351,-5.54479044,,,
young,2,1,1,10,3,G,V,9,56,56.253,1.60608,,,
young,2,1,1,11,3,G,V,3,96,96.747,2.75328,,,
young,2,1,1,11,3,G,V,6,34.666,34.666,0.99422088,,,
young,2,1,1,11,3,G,V,9,-102.666,102.675,-2.94446088,,,
young,2,1,1,12,3,G,V,3,206.666,206.735,5.92718088,,,
young,2,1,1,12,3,G,V,6,89.334,90.324,2.56209912,,,
young,2,1,1,12,3,G,V,9,150.666,151.988,4.32110088,,,
